City,Price(TRY),Brand,Series,Model,Year,Mileage(km),TransmissionType,FuelType,BodyType,EngineSize(cc),EnginePower(HP),DriveTrain,ListingYear,ListingMonth,ListingDay
18,1169000,0,24,1057,2016,120000,0,2,3,1200,101,1,2025,4,7
5,2450000,0,27,1132,2018,136000,2,0,6,1968,190,0,2025,4,7
2,750000,0,25,1100,2011,285000,0,2,6,1798,160,1,2025,4,8
6,1195000,0,24,1071,2016,101000,2,0,3,1598,110,1,2025,4,3
5,822000,0,24,1073,2012,212000,2,0,3,1598,105,1,2025,4,2
77,1750000,0,25,1095,2018,85600,2,2,6,1395,150,1,2025,3,28
65,990000,0,24,1042,2014,218000,2,0,6,1598,110,1,2025,3,28
60,1475000,0,24,1045,2018,126000,0,0,6,1401,101,1,2025,4,7
73,1030000,0,27,1131,2008,189000,0,0,6,1968,136,1,2025,4,7
29,1185000,0,24,1046,2017,159500,0,0,6,1401,101,1,2025,4,7
77,1600000,0,24,1054,2020,55000,2,2,6,1498,150,1,2025,4,7
65,1150000,0,24,1045,2016,240000,2,0,6,1598,110,1,2025,4,7
5,4850000,0,27,1139,2022,62000,0,0,6,1801,201,0,2025,4,7
22,875000,0,25,1101,2014,355000,0,0,6,1968,150,1,2025,4,7
77,990000,0,24,1072,2014,216000,0,0,3,1401,101,1,2025,4,7
0,1440000,0,24,1076,2018,150500,0,0,3,1401,101,1,2025,4,7
73,735000,0,24,1061,2009,214000,2,2,3,1390,125,1,2025,4,7
50,2000000,0,24,1083,2023,27000,2,3,3,1498,150,1,2025,4,7
78,1860000,0,24,1052,2021,67000,0,4,6,1200,101,1,2025,4,7
5,760000,0,27,1131,2007,280000,0,4,6,1968,140,1,2025,4,8
20,1025000,0,25,1101,2015,323000,0,0,6,1968,150,1,2025,4,8
67,895000,0,27,1131,2011,286000,0,0,6,1998,177,1,2025,4,7
27,985000,0,24,1072,2013,212000,0,0,3,1401,101,1,2025,4,7
0,4165000,0,27,1141,2021,62000,0,0,6,1801,201,0,2025,4,7
29,940000,0,24,1042,2015,270000,0,0,6,1401,101,1,2025,4,7
77,1450000,0,24,1037,2017,68000,2,2,6,999,116,1,2025,4,7
0,822000,0,24,1071,2012,212000,0,0,3,1401,101,1,2025,4,7
77,11750000,0,29,1015,2022,57000,0,2,6,2995,340,0,2025,4,7
64,2685058,0,25,1112,2019,79000,0,0,6,1801,176,1,2025,4,7
20,530000,0,24,1069,2008,388000,1,4,3,1595,102,1,2025,4,8
77,1125000,0,26,1120,2011,174000,0,0,1,1801,151,1,2025,4,7
77,1799999,0,24,1053,2021,95000,0,2,6,1401,126,1,2025,4,7
37,840000,0,27,1131,2009,360000,0,0,6,1968,136,1,2025,4,7
77,1489900,0,24,1055,2020,56500,0,2,6,1401,126,1,2025,4,7
77,7270000,0,28,963,2024,6100,0,2,3,1801,251,0,2025,4,7
